great_walk,seasonality,hut_or_campsite,measure,date,count
Whanganui Journey - Great Walk,Seasonal,Whakahoro Bunkroom,BookedUnits,1/04/2007,
Whanganui Journey - Great Walk,Seasonal,Whakahoro Bunkroom,Capacity,1/04/2007,
Whanganui Journey - Great Walk,Seasonal,Whakahoro Campsite,BookedUnits,1/04/2007,
Whanganui Journey - Great Walk,Seasonal,Whakahoro Campsite,Capacity,1/04/2007,
Abel Tasman Coast Track - Great Walk,Year-round,Akersten Bay Campsite,BookedUnits,1/05/2007,0
Abel Tasman Coast Track - Great Walk,Year-round,Akersten Bay Campsite,Capacity,1/05/2007,180
Abel Tasman Coast Track - Great Walk,Year-round,Anapai Bay Campsite,BookedUnits,1/05/2007,5
Abel Tasman Coast Track - Great Walk,Year-round,Anapai Bay Campsite,Capacity,1/05/2007,360
Abel Tasman Coast Track - Great Walk,Year-round,Anchorage Campsite,BookedUnits,1/05/2007,83
Abel Tasman Coast Track - Great Walk,Year-round,Anchorage Campsite,Capacity,1/05/2007,3100
Abel Tasman Coast Track - Great Walk,Year-round,Anchorage Hut,BookedUnits,1/05/2007,460
Abel Tasman Coast Track - Great Walk,Year-round,Anchorage Hut,Capacity,1/05/2007,1054
Abel Tasman Coast Track - Great Walk,Year-round,Apple Tree Bay Campsite,BookedUnits,1/05/2007,5
Abel Tasman Coast Track - Great Walk,Year-round,Apple Tree Bay Campsite,Capacity,1/05/2007,840
Abel Tasman Coast Track - Great Walk,Year-round,Awaroa Campsite,BookedUnits,1/05/2007,21
Abel Tasman Coast Track - Great Walk,Year-round,Awaroa Campsite,Capacity,1/05/2007,1116
Abel Tasman Coast Track - Great Walk,Year-round,Awaroa Hut,BookedUnits,1/05/2007,329
Abel Tasman Coast Track - Great Walk,Year-round,Awaroa Hut,Capacity,1/05/2007,806
Abel Tasman Coast Track - Great Walk,Year-round,Bark Bay Campsite,BookedUnits,1/05/2007,118
Abel Tasman Coast Track - Great Walk,Year-round,Bark Bay Campsite,Capacity,1/05/2007,2400
Abel Tasman Coast Track - Great Walk,Year-round,Bark Bay Hut,BookedUnits,1/05/2007,479
Abel Tasman Coast Track - Great Walk,Year-round,Bark Bay Hut,Capacity,1/05/2007,1054
Abel Tasman Coast Track - Great Walk,Year-round,Coquille Campsite,BookedUnits,1/05/2007,0
Abel Tasman Coast Track - Great Walk,Year-round,Coquille Campsite,Capacity,1/05/2007,372
Abel Tasman Coast Track - Great Walk,Year-round,Huffams Overflow Campsite,BookedUnits,1/05/2007,0
Abel Tasman Coast Track - Great Walk,Year-round,Huffams Overflow Campsite,Capacity,1/05/2007,310
Abel Tasman Coast Track - Great Walk,Year-round,Mosquito Bay Campsite (water access only),BookedUnits,1/05/2007,24
Abel Tasman Coast Track - Great Walk,Year-round,Mosquito Bay Campsite (water access only),Capacity,1/05/2007,1240
Abel Tasman Coast Track - Great Walk,Year-round,Mutton Cove Campsite,BookedUnits,1/05/2007,12
Abel Tasman Coast Track - Great Walk,Year-round,Mutton Cove Campsite,Capacity,1/05/2007,1200
Abel Tasman Coast Track - Great Walk,Year-round,Observation Beach Campsite,BookedUnits,1/05/2007,2
Abel Tasman Coast Track - Great Walk,Year-round,Observation Beach Campsite,Capacity,1/05/2007,348
Abel Tasman Coast Track - Great Walk,Year-round,Onetahuti Bay Campsite,BookedUnits,1/05/2007,37
Abel Tasman Coast Track - Great Walk,Year-round,Onetahuti Bay Campsite,Capacity,1/05/2007,1200
Abel Tasman Coast Track - Great Walk,Year-round,Te Pukatea Bay Campsite,BookedUnits,1/05/2007,36
Abel Tasman Coast Track - Great Walk,Year-round,Te Pukatea Bay Campsite,Capacity,1/05/2007,406
Abel Tasman Coast Track - Great Walk,Year-round,Tinline Campsite,BookedUnits,1/05/2007,0
Abel Tasman Coast Track - Great Walk,Year-round,Tinline Campsite,Capacity,1/05/2007,810
Abel Tasman Coast Track - Great Walk,Year-round,Tonga Quarry Campsite,BookedUnits,1/05/2007,8
Abel Tasman Coast Track - Great Walk,Year-round,Tonga Quarry Campsite,Capacity,1/05/2007,620
Abel Tasman Coast Track - Great Walk,Year-round,Torrent Bay Village Campsite,BookedUnits,1/05/2007,5
Abel Tasman Coast Track - Great Walk,Year-round,Torrent Bay Village Campsite,Capacity,1/05/2007,620
Abel Tasman Coast Track - Great Walk,Year-round,Totaranui Great Walk Campsite,BookedUnits,1/05/2007,15
Abel Tasman Coast Track - Great Walk,Year-round,Totaranui Great Walk Campsite,Capacity,1/05/2007,1240
Abel Tasman Coast Track - Great Walk,Year-round,Waiharakeke Bay Campsite,BookedUnits,1/05/2007,37
Abel Tasman Coast Track - Great Walk,Year-round,Waiharakeke Bay Campsite,Capacity,1/05/2007,620
Abel Tasman Coast Track - Great Walk,Year-round,Watering Cove Campsite,BookedUnits,1/05/2007,0
Abel Tasman Coast Track - Great Walk,Year-round,Watering Cove Campsite,Capacity,1/05/2007,300
Abel Tasman Coast Track - Great Walk,Year-round,Whariwharangi Bay Campsite,BookedUnits,1/05/2007,3
Abel Tasman Coast Track - Great Walk,Year-round,Whariwharangi Bay Campsite,Capacity,1/05/2007,1160
Abel Tasman Coast Track - Great Walk,Year-round,Whariwharangi Hut,BookedUnits,1/05/2007,179
Abel Tasman Coast Track - Great Walk,Year-round,Whariwharangi Hut,Capacity,1/05/2007,620
Heaphy Track - Great Walk,Year-round,Aorere Campsite,BookedUnits,1/05/2007,0
Heaphy Track - Great Walk,Year-round,Aorere Campsite,Capacity,1/05/2007,310
Heaphy Track - Great Walk,Year-round,Brown Campsite,BookedUnits,1/05/2007,2
Heaphy Track - Great Walk,Year-round,Brown Campsite,Capacity,1/05/2007,600
Heaphy Track - Great Walk,Year-round,Brown Hut,BookedUnits,1/05/2007,39
Heaphy Track - Great Walk,Year-round,Brown Hut,Capacity,1/05/2007,432
Heaphy Track - Great Walk,Year-round,Gouland Downs Campsite,BookedUnits,1/05/2007,1
Heaphy Track - Great Walk,Year-round,Gouland Downs Campsite,Capacity,1/05/2007,300
Heaphy Track - Great Walk,Year-round,Gouland Downs Hut,BookedUnits,1/05/2007,38
Heaphy Track - Great Walk,Year-round,Gouland Downs Hut,Capacity,1/05/2007,224
Heaphy Track - Great Walk,Year-round,Heaphy Campsite,BookedUnits,1/05/2007,10
Heaphy Track - Great Walk,Year-round,Heaphy Campsite,Capacity,1/05/2007,1160
Heaphy Track - Great Walk,Year-round,Heaphy Hut,BookedUnits,1/05/2007,162
Heaphy Track - Great Walk,Year-round,Heaphy Hut,Capacity,1/05/2007,928
Heaphy Track - Great Walk,Year-round,Katipo Creek Shelter Campsite,BookedUnits,1/05/2007,3
Heaphy Track - Great Walk,Year-round,Katipo Creek Shelter Campsite,Capacity,1/05/2007,310
Heaphy Track - Great Walk,Year-round,Lewis Hut,BookedUnits,1/05/2007,43
Heaphy Track - Great Walk,Year-round,Lewis Hut,Capacity,1/05/2007,600
Heaphy Track - Great Walk,Year-round,Mackay Campsite,BookedUnits,1/05/2007,9
Heaphy Track - Great Walk,Year-round,Mackay Campsite,Capacity,1/05/2007,216
Heaphy Track - Great Walk,Year-round,Mackay Hut,BookedUnits,1/05/2007,144
Heaphy Track - Great Walk,Year-round,Mackay Hut,Capacity,1/05/2007,812
Heaphy Track - Great Walk,Year-round,Perry Saddle Campsite,BookedUnits,1/05/2007,8
Heaphy Track - Great Walk,Year-round,Perry Saddle Campsite,Capacity,1/05/2007,290
Heaphy Track - Great Walk,Year-round,Perry Saddle Hut,BookedUnits,1/05/2007,146
Heaphy Track - Great Walk,Year-round,Perry Saddle Hut,Capacity,1/05/2007,840
Heaphy Track - Great Walk,Year-round,Saxon Campsite,BookedUnits,1/05/2007,6
Heaphy Track - Great Walk,Year-round,Saxon Campsite,Capacity,1/05/2007,290
Heaphy Track - Great Walk,Year-round,Saxon Hut,BookedUnits,1/05/2007,71
Heaphy Track - Great Walk,Year-round,Saxon Hut,Capacity,1/05/2007,464
Heaphy Track - Great Walk,Year-round,Scotts Beach Campsite,BookedUnits,1/05/2007,0
Heaphy Track - Great Walk,Year-round,Scotts Beach Campsite,Capacity,1/05/2007,620
Kepler Track - Great Walk,Seasonal,Brod Bay Campsite,BookedUnits,1/05/2007,
Kepler Track - Great Walk,Seasonal,Brod Bay Campsite,Capacity,1/05/2007,
Kepler Track - Great Walk,Seasonal,Iris Burn Campsite,BookedUnits,1/05/2007,
Kepler Track - Great Walk,Seasonal,Iris Burn Campsite,Capacity,1/05/2007,
Kepler Track - Great Walk,Seasonal,Iris Burn Hut,BookedUnits,1/05/2007,
Kepler Track - Great Walk,Seasonal,Iris Burn Hut,Capacity,1/05/2007,
Kepler Track - Great Walk,Seasonal,Luxmore Hut,BookedUnits,1/05/2007,
Kepler Track - Great Walk,Seasonal,Luxmore Hut,Capacity,1/05/2007,
Kepler Track - Great Walk,Seasonal,Moturau Hut,BookedUnits,1/05/2007,
Kepler Track - Great Walk,Seasonal,Moturau Hut,Capacity,1/05/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Korokoro Campsite,BookedUnits,1/05/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Korokoro Campsite,Capacity,1/05/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Marauiti Hut,BookedUnits,1/05/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Marauiti Hut,Capacity,1/05/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Maraunui Campsite,BookedUnits,1/05/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Maraunui Campsite,Capacity,1/05/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Panekire Hut,BookedUnits,1/05/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Panekire Hut,Capacity,1/05/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Tapuaenui campsite,BookedUnits,1/05/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Tapuaenui campsite,Capacity,1/05/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Waiharuru  Campsite,BookedUnits,1/05/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Waiharuru  Campsite,Capacity,1/05/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Waiharuru Hut,BookedUnits,1/05/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Waiharuru Hut,Capacity,1/05/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Waiopaoa Campsite,BookedUnits,1/05/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Waiopaoa Campsite,Capacity,1/05/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Waiopaoa Hut,BookedUnits,1/05/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Waiopaoa Hut,Capacity,1/05/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Whanganui Hut,BookedUnits,1/05/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Whanganui Hut,Capacity,1/05/2007,
Milford Track - Great Walk,Seasonal,Clinton Hut,BookedUnits,1/05/2007,
Milford Track - Great Walk,Seasonal,Clinton Hut,Capacity,1/05/2007,
Milford Track - Great Walk,Seasonal,Dumpling Hut,BookedUnits,1/05/2007,
Milford Track - Great Walk,Seasonal,Dumpling Hut,Capacity,1/05/2007,
Milford Track - Great Walk,Seasonal,Mintaro Hut,BookedUnits,1/05/2007,
Milford Track - Great Walk,Seasonal,Mintaro Hut,Capacity,1/05/2007,
Rakiura Track - Great Walk,Year-round,Maori Beach Campsite,BookedUnits,1/05/2007,
Rakiura Track - Great Walk,Year-round,Maori Beach Campsite,Capacity,1/05/2007,
Rakiura Track - Great Walk,Year-round,North Arm Campsite,BookedUnits,1/05/2007,
Rakiura Track - Great Walk,Year-round,North Arm Campsite,Capacity,1/05/2007,
Rakiura Track - Great Walk,Year-round,North Arm Hut,BookedUnits,1/05/2007,
Rakiura Track - Great Walk,Year-round,North Arm Hut,Capacity,1/05/2007,
Rakiura Track - Great Walk,Year-round,Port William Campsite,BookedUnits,1/05/2007,
Rakiura Track - Great Walk,Year-round,Port William Campsite,Capacity,1/05/2007,
Rakiura Track - Great Walk,Year-round,Port William Hut,BookedUnits,1/05/2007,
Rakiura Track - Great Walk,Year-round,Port William Hut,Capacity,1/05/2007,
Routeburn Track - Great Walk,Seasonal,Lake Howden Hut,BookedUnits,1/05/2007,
Routeburn Track - Great Walk,Seasonal,Lake Howden Hut,Capacity,1/05/2007,
Routeburn Track - Great Walk,Seasonal,Lake Mackenzie Campsite,BookedUnits,1/05/2007,
Routeburn Track - Great Walk,Seasonal,Lake Mackenzie Campsite,Capacity,1/05/2007,
Routeburn Track - Great Walk,Seasonal,Lake Mackenzie Hut,BookedUnits,1/05/2007,
Routeburn Track - Great Walk,Seasonal,Lake Mackenzie Hut,Capacity,1/05/2007,
Routeburn Track - Great Walk,Seasonal,Routeburn Falls Hut,BookedUnits,1/05/2007,
Routeburn Track - Great Walk,Seasonal,Routeburn Falls Hut,Capacity,1/05/2007,
Routeburn Track - Great Walk,Seasonal,Routeburn Flats Campsite,BookedUnits,1/05/2007,
Routeburn Track - Great Walk,Seasonal,Routeburn Flats Campsite,Capacity,1/05/2007,
Routeburn Track - Great Walk,Seasonal,Routeburn Flats Hut,BookedUnits,1/05/2007,
Routeburn Track - Great Walk,Seasonal,Routeburn Flats Hut,Capacity,1/05/2007,
Tongariro Northern Circuit - Great Walk,Seasonal,Mangatepopo Campsite,BookedUnits,1/05/2007,
Tongariro Northern Circuit - Great Walk,Seasonal,Mangatepopo Campsite,Capacity,1/05/2007,
Tongariro Northern Circuit - Great Walk,Seasonal,Mangatepopo Hut,BookedUnits,1/05/2007,
Tongariro Northern Circuit - Great Walk,Seasonal,Mangatepopo Hut,Capacity,1/05/2007,
Tongariro Northern Circuit - Great Walk,Seasonal,Oturere Campsite,BookedUnits,1/05/2007,
Tongariro Northern Circuit - Great Walk,Seasonal,Oturere Campsite,Capacity,1/05/2007,
Tongariro Northern Circuit - Great Walk,Seasonal,Oturere Hut,BookedUnits,1/05/2007,
Tongariro Northern Circuit - Great Walk,Seasonal,Oturere Hut,Capacity,1/05/2007,
Tongariro Northern Circuit - Great Walk,Seasonal,Waihohonu Campsite,BookedUnits,1/05/2007,
Tongariro Northern Circuit - Great Walk,Seasonal,Waihohonu Campsite,Capacity,1/05/2007,
Tongariro Northern Circuit - Great Walk,Seasonal,Waihohonu Hut,BookedUnits,1/05/2007,
Tongariro Northern Circuit - Great Walk,Seasonal,Waihohonu Hut,Capacity,1/05/2007,
Whanganui Journey - Great Walk,Seasonal,John Coull Campsite,BookedUnits,1/05/2007,
Whanganui Journey - Great Walk,Seasonal,John Coull Campsite,Capacity,1/05/2007,
Whanganui Journey - Great Walk,Seasonal,John Coull Hut,BookedUnits,1/05/2007,
Whanganui Journey - Great Walk,Seasonal,John Coull Hut,Capacity,1/05/2007,
Whanganui Journey - Great Walk,Seasonal,Maharanui Campsite,BookedUnits,1/05/2007,
Whanganui Journey - Great Walk,Seasonal,Maharanui Campsite,Capacity,1/05/2007,
Whanganui Journey - Great Walk,Seasonal,Mangapapa Campsite,BookedUnits,1/05/2007,
Whanganui Journey - Great Walk,Seasonal,Mangapapa Campsite,Capacity,1/05/2007,
Whanganui Journey - Great Walk,Seasonal,Mangapurua Campsite,BookedUnits,1/05/2007,
Whanganui Journey - Great Walk,Seasonal,Mangapurua Campsite,Capacity,1/05/2007,
Whanganui Journey - Great Walk,Seasonal,Mangawaiiti Campsite,BookedUnits,1/05/2007,
Whanganui Journey - Great Walk,Seasonal,Mangawaiiti Campsite,Capacity,1/05/2007,
Whanganui Journey - Great Walk,Seasonal,Ngaporo Campsite,BookedUnits,1/05/2007,
Whanganui Journey - Great Walk,Seasonal,Ngaporo Campsite,Capacity,1/05/2007,
Whanganui Journey - Great Walk,Seasonal,Ohauora Campsite,BookedUnits,1/05/2007,
Whanganui Journey - Great Walk,Seasonal,Ohauora Campsite,Capacity,1/05/2007,
Whanganui Journey - Great Walk,Seasonal,Ohinepane Campsite,BookedUnits,1/05/2007,
Whanganui Journey - Great Walk,Seasonal,Ohinepane Campsite,Capacity,1/05/2007,
Whanganui Journey - Great Walk,Seasonal,Poukaria Campsite,BookedUnits,1/05/2007,
Whanganui Journey - Great Walk,Seasonal,Poukaria Campsite,Capacity,1/05/2007,
Whanganui Journey - Great Walk,Seasonal,Tieke Campsite,BookedUnits,1/05/2007,
Whanganui Journey - Great Walk,Seasonal,Tieke Campsite,Capacity,1/05/2007,
Whanganui Journey - Great Walk,Seasonal,Tieke Kainga Hut,BookedUnits,1/05/2007,
Whanganui Journey - Great Walk,Seasonal,Tieke Kainga Hut,Capacity,1/05/2007,
Whanganui Journey - Great Walk,Seasonal,Whakahoro Bunkroom,BookedUnits,1/05/2007,
Whanganui Journey - Great Walk,Seasonal,Whakahoro Bunkroom,Capacity,1/05/2007,
Whanganui Journey - Great Walk,Seasonal,Whakahoro Campsite,BookedUnits,1/05/2007,
Whanganui Journey - Great Walk,Seasonal,Whakahoro Campsite,Capacity,1/05/2007,
Abel Tasman Coast Track - Great Walk,Year-round,Akersten Bay Campsite,BookedUnits,1/06/2007,2
Abel Tasman Coast Track - Great Walk,Year-round,Akersten Bay Campsite,Capacity,1/06/2007,156
Abel Tasman Coast Track - Great Walk,Year-round,Anapai Bay Campsite,BookedUnits,1/06/2007,3
Abel Tasman Coast Track - Great Walk,Year-round,Anapai Bay Campsite,Capacity,1/06/2007,360
Abel Tasman Coast Track - Great Walk,Year-round,Anchorage Campsite,BookedUnits,1/06/2007,87
Abel Tasman Coast Track - Great Walk,Year-round,Anchorage Campsite,Capacity,1/06/2007,2600
Abel Tasman Coast Track - Great Walk,Year-round,Anchorage Hut,BookedUnits,1/06/2007,355
Abel Tasman Coast Track - Great Walk,Year-round,Anchorage Hut,Capacity,1/06/2007,1020
Abel Tasman Coast Track - Great Walk,Year-round,Apple Tree Bay Campsite,BookedUnits,1/06/2007,2
Abel Tasman Coast Track - Great Walk,Year-round,Apple Tree Bay Campsite,Capacity,1/06/2007,870
Abel Tasman Coast Track - Great Walk,Year-round,Awaroa Campsite,BookedUnits,1/06/2007,10
Abel Tasman Coast Track - Great Walk,Year-round,Awaroa Campsite,Capacity,1/06/2007,1044
Abel Tasman Coast Track - Great Walk,Year-round,Awaroa Hut,BookedUnits,1/06/2007,229
Abel Tasman Coast Track - Great Walk,Year-round,Awaroa Hut,Capacity,1/06/2007,754
Abel Tasman Coast Track - Great Walk,Year-round,Bark Bay Campsite,BookedUnits,1/06/2007,20
Abel Tasman Coast Track - Great Walk,Year-round,Bark Bay Campsite,Capacity,1/06/2007,2240
Abel Tasman Coast Track - Great Walk,Year-round,Bark Bay Hut,BookedUnits,1/06/2007,303
Abel Tasman Coast Track - Great Walk,Year-round,Bark Bay Hut,Capacity,1/06/2007,1020
Abel Tasman Coast Track - Great Walk,Year-round,Coquille Campsite,BookedUnits,1/06/2007,0
Abel Tasman Coast Track - Great Walk,Year-round,Coquille Campsite,Capacity,1/06/2007,360
Abel Tasman Coast Track - Great Walk,Year-round,Huffams Overflow Campsite,BookedUnits,1/06/2007,0
Abel Tasman Coast Track - Great Walk,Year-round,Huffams Overflow Campsite,Capacity,1/06/2007,300
Abel Tasman Coast Track - Great Walk,Year-round,Mosquito Bay Campsite (water access only),BookedUnits,1/06/2007,7
Abel Tasman Coast Track - Great Walk,Year-round,Mosquito Bay Campsite (water access only),Capacity,1/06/2007,1200
Abel Tasman Coast Track - Great Walk,Year-round,Mutton Cove Campsite,BookedUnits,1/06/2007,7
Abel Tasman Coast Track - Great Walk,Year-round,Mutton Cove Campsite,Capacity,1/06/2007,1200
Abel Tasman Coast Track - Great Walk,Year-round,Observation Beach Campsite,BookedUnits,1/06/2007,0
Abel Tasman Coast Track - Great Walk,Year-round,Observation Beach Campsite,Capacity,1/06/2007,348
Abel Tasman Coast Track - Great Walk,Year-round,Onetahuti Bay Campsite,BookedUnits,1/06/2007,13
Abel Tasman Coast Track - Great Walk,Year-round,Onetahuti Bay Campsite,Capacity,1/06/2007,1200
Abel Tasman Coast Track - Great Walk,Year-round,Te Pukatea Bay Campsite,BookedUnits,1/06/2007,21
Abel Tasman Coast Track - Great Walk,Year-round,Te Pukatea Bay Campsite,Capacity,1/06/2007,420
Abel Tasman Coast Track - Great Walk,Year-round,Tinline Campsite,BookedUnits,1/06/2007,3
Abel Tasman Coast Track - Great Walk,Year-round,Tinline Campsite,Capacity,1/06/2007,870
Abel Tasman Coast Track - Great Walk,Year-round,Tonga Quarry Campsite,BookedUnits,1/06/2007,0
Abel Tasman Coast Track - Great Walk,Year-round,Tonga Quarry Campsite,Capacity,1/06/2007,600
Abel Tasman Coast Track - Great Walk,Year-round,Torrent Bay Village Campsite,BookedUnits,1/06/2007,0
Abel Tasman Coast Track - Great Walk,Year-round,Torrent Bay Village Campsite,Capacity,1/06/2007,580
Abel Tasman Coast Track - Great Walk,Year-round,Totaranui Great Walk Campsite,BookedUnits,1/06/2007,10
Abel Tasman Coast Track - Great Walk,Year-round,Totaranui Great Walk Campsite,Capacity,1/06/2007,1120
Abel Tasman Coast Track - Great Walk,Year-round,Waiharakeke Bay Campsite,BookedUnits,1/06/2007,5
Abel Tasman Coast Track - Great Walk,Year-round,Waiharakeke Bay Campsite,Capacity,1/06/2007,600
Abel Tasman Coast Track - Great Walk,Year-round,Watering Cove Campsite,BookedUnits,1/06/2007,0
Abel Tasman Coast Track - Great Walk,Year-round,Watering Cove Campsite,Capacity,1/06/2007,290
Abel Tasman Coast Track - Great Walk,Year-round,Whariwharangi Bay Campsite,BookedUnits,1/06/2007,0
Abel Tasman Coast Track - Great Walk,Year-round,Whariwharangi Bay Campsite,Capacity,1/06/2007,1160
Abel Tasman Coast Track - Great Walk,Year-round,Whariwharangi Hut,BookedUnits,1/06/2007,123
Abel Tasman Coast Track - Great Walk,Year-round,Whariwharangi Hut,Capacity,1/06/2007,540
Heaphy Track - Great Walk,Year-round,Aorere Campsite,BookedUnits,1/06/2007,16
Heaphy Track - Great Walk,Year-round,Aorere Campsite,Capacity,1/06/2007,240
Heaphy Track - Great Walk,Year-round,Brown Campsite,BookedUnits,1/06/2007,0
Heaphy Track - Great Walk,Year-round,Brown Campsite,Capacity,1/06/2007,440
Heaphy Track - Great Walk,Year-round,Brown Hut,BookedUnits,1/06/2007,23
Heaphy Track - Great Walk,Year-round,Brown Hut,Capacity,1/06/2007,336
Heaphy Track - Great Walk,Year-round,Gouland Downs Campsite,BookedUnits,1/06/2007,0
Heaphy Track - Great Walk,Year-round,Gouland Downs Campsite,Capacity,1/06/2007,230
Heaphy Track - Great Walk,Year-round,Gouland Downs Hut,BookedUnits,1/06/2007,4
Heaphy Track - Great Walk,Year-round,Gouland Downs Hut,Capacity,1/06/2007,184
Heaphy Track - Great Walk,Year-round,Heaphy Campsite,BookedUnits,1/06/2007,2
Heaphy Track - Great Walk,Year-round,Heaphy Campsite,Capacity,1/06/2007,1040
Heaphy Track - Great Walk,Year-round,Heaphy Hut,BookedUnits,1/06/2007,90
Heaphy Track - Great Walk,Year-round,Heaphy Hut,Capacity,1/06/2007,768
Heaphy Track - Great Walk,Year-round,Katipo Creek Shelter Campsite,BookedUnits,1/06/2007,18
Heaphy Track - Great Walk,Year-round,Katipo Creek Shelter Campsite,Capacity,1/06/2007,260
Heaphy Track - Great Walk,Year-round,Lewis Hut,BookedUnits,1/06/2007,23
Heaphy Track - Great Walk,Year-round,Lewis Hut,Capacity,1/06/2007,500
Heaphy Track - Great Walk,Year-round,Mackay Campsite,BookedUnits,1/06/2007,4
Heaphy Track - Great Walk,Year-round,Mackay Campsite,Capacity,1/06/2007,200
Heaphy Track - Great Walk,Year-round,Mackay Hut,BookedUnits,1/06/2007,69
Heaphy Track - Great Walk,Year-round,Mackay Hut,Capacity,1/06/2007,672
Heaphy Track - Great Walk,Year-round,Perry Saddle Campsite,BookedUnits,1/06/2007,4
Heaphy Track - Great Walk,Year-round,Perry Saddle Campsite,Capacity,1/06/2007,240
Heaphy Track - Great Walk,Year-round,Perry Saddle Hut,BookedUnits,1/06/2007,76
Heaphy Track - Great Walk,Year-round,Perry Saddle Hut,Capacity,1/06/2007,644
Heaphy Track - Great Walk,Year-round,Saxon Campsite,BookedUnits,1/06/2007,0
Heaphy Track - Great Walk,Year-round,Saxon Campsite,Capacity,1/06/2007,240
Heaphy Track - Great Walk,Year-round,Saxon Hut,BookedUnits,1/06/2007,32
Heaphy Track - Great Walk,Year-round,Saxon Hut,Capacity,1/06/2007,368
Heaphy Track - Great Walk,Year-round,Scotts Beach Campsite,BookedUnits,1/06/2007,0
Heaphy Track - Great Walk,Year-round,Scotts Beach Campsite,Capacity,1/06/2007,520
Kepler Track - Great Walk,Seasonal,Brod Bay Campsite,BookedUnits,1/06/2007,
Kepler Track - Great Walk,Seasonal,Brod Bay Campsite,Capacity,1/06/2007,
Kepler Track - Great Walk,Seasonal,Iris Burn Campsite,BookedUnits,1/06/2007,
Kepler Track - Great Walk,Seasonal,Iris Burn Campsite,Capacity,1/06/2007,
Kepler Track - Great Walk,Seasonal,Iris Burn Hut,BookedUnits,1/06/2007,
Kepler Track - Great Walk,Seasonal,Iris Burn Hut,Capacity,1/06/2007,
Kepler Track - Great Walk,Seasonal,Luxmore Hut,BookedUnits,1/06/2007,
Kepler Track - Great Walk,Seasonal,Luxmore Hut,Capacity,1/06/2007,
Kepler Track - Great Walk,Seasonal,Moturau Hut,BookedUnits,1/06/2007,
Kepler Track - Great Walk,Seasonal,Moturau Hut,Capacity,1/06/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Korokoro Campsite,BookedUnits,1/06/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Korokoro Campsite,Capacity,1/06/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Marauiti Hut,BookedUnits,1/06/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Marauiti Hut,Capacity,1/06/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Maraunui Campsite,BookedUnits,1/06/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Maraunui Campsite,Capacity,1/06/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Panekire Hut,BookedUnits,1/06/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Panekire Hut,Capacity,1/06/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Tapuaenui campsite,BookedUnits,1/06/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Tapuaenui campsite,Capacity,1/06/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Waiharuru  Campsite,BookedUnits,1/06/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Waiharuru  Campsite,Capacity,1/06/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Waiharuru Hut,BookedUnits,1/06/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Waiharuru Hut,Capacity,1/06/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Waiopaoa Campsite,BookedUnits,1/06/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Waiopaoa Campsite,Capacity,1/06/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Waiopaoa Hut,BookedUnits,1/06/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Waiopaoa Hut,Capacity,1/06/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Whanganui Hut,BookedUnits,1/06/2007,
Lake Waikaremoana Track - Great Walk,Year-round,Whanganui Hut,Capacity,1/06/2007,
Milford Track - Great Walk,Seasonal,Clinton Hut,BookedUnits,1/06/2007,
Milford Track - Great Walk,Seasonal,Clinton Hut,Capacity,1/06/2007,
Milford Track - Great Walk,Seasonal,Dumpling Hut,BookedUnits,1/06/2007,
Milford Track - Great Walk,Seasonal,Dumpling Hut,Capacity,1/06/2007,
