great_walk,seasonality,hut_or_campsite,measure,date,count
Heaphy Track - Great Walk,Year-round,Gouland Downs Campsite,Capacity,1/10/2005,310
Heaphy Track - Great Walk,Year-round,Gouland Downs Hut,BookedUnits,1/10/2005,10
Heaphy Track - Great Walk,Year-round,Gouland Downs Hut,Capacity,1/10/2005,176
Heaphy Track - Great Walk,Year-round,Heaphy Campsite,BookedUnits,1/10/2005,24
Heaphy Track - Great Walk,Year-round,Heaphy Campsite,Capacity,1/10/2005,1080
Heaphy Track - Great Walk,Year-round,Heaphy Hut,BookedUnits,1/10/2005,202
Heaphy Track - Great Walk,Year-round,Heaphy Hut,Capacity,1/10/2005,928
Heaphy Track - Great Walk,Year-round,Katipo Creek Shelter Campsite,BookedUnits,1/10/2005,2
Heaphy Track - Great Walk,Year-round,Katipo Creek Shelter Campsite,Capacity,1/10/2005,300
Heaphy Track - Great Walk,Year-round,Lewis Hut,BookedUnits,1/10/2005,24
Heaphy Track - Great Walk,Year-round,Lewis Hut,Capacity,1/10/2005,520
Heaphy Track - Great Walk,Year-round,Mackay Campsite,BookedUnits,1/10/2005,20
Heaphy Track - Great Walk,Year-round,Mackay Campsite,Capacity,1/10/2005,216
Heaphy Track - Great Walk,Year-round,Mackay Hut,BookedUnits,1/10/2005,166
Heaphy Track - Great Walk,Year-round,Mackay Hut,Capacity,1/10/2005,840
Heaphy Track - Great Walk,Year-round,Perry Saddle Campsite,BookedUnits,1/10/2005,14
Heaphy Track - Great Walk,Year-round,Perry Saddle Campsite,Capacity,1/10/2005,290
Heaphy Track - Great Walk,Year-round,Perry Saddle Hut,BookedUnits,1/10/2005,172
Heaphy Track - Great Walk,Year-round,Perry Saddle Hut,Capacity,1/10/2005,868
Heaphy Track - Great Walk,Year-round,Saxon Campsite,BookedUnits,1/10/2005,8
Heaphy Track - Great Walk,Year-round,Saxon Campsite,Capacity,1/10/2005,280
Heaphy Track - Great Walk,Year-round,Saxon Hut,BookedUnits,1/10/2005,82
Heaphy Track - Great Walk,Year-round,Saxon Hut,Capacity,1/10/2005,464
Heaphy Track - Great Walk,Year-round,Scotts Beach Campsite,BookedUnits,1/10/2005,1
Heaphy Track - Great Walk,Year-round,Scotts Beach Campsite,Capacity,1/10/2005,560
Kepler Track - Great Walk,Seasonal,Brod Bay Campsite,BookedUnits,1/10/2005,8
Kepler Track - Great Walk,Seasonal,Brod Bay Campsite,Capacity,1/10/2005,180
Kepler Track - Great Walk,Seasonal,Iris Burn Campsite,BookedUnits,1/10/2005,11
Kepler Track - Great Walk,Seasonal,Iris Burn Campsite,Capacity,1/10/2005,210
Kepler Track - Great Walk,Seasonal,Iris Burn Hut,BookedUnits,1/10/2005,74
Kepler Track - Great Walk,Seasonal,Iris Burn Hut,Capacity,1/10/2005,350
Kepler Track - Great Walk,Seasonal,Luxmore Hut,BookedUnits,1/10/2005,88
Kepler Track - Great Walk,Seasonal,Luxmore Hut,Capacity,1/10/2005,378
Kepler Track - Great Walk,Seasonal,Moturau Hut,BookedUnits,1/10/2005,30
Kepler Track - Great Walk,Seasonal,Moturau Hut,Capacity,1/10/2005,240
Lake Waikaremoana Track - Great Walk,Year-round,Korokoro Campsite,BookedUnits,1/10/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Korokoro Campsite,Capacity,1/10/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Marauiti Hut,BookedUnits,1/10/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Marauiti Hut,Capacity,1/10/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Maraunui Campsite,BookedUnits,1/10/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Maraunui Campsite,Capacity,1/10/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Panekire Hut,BookedUnits,1/10/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Panekire Hut,Capacity,1/10/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Tapuaenui campsite,BookedUnits,1/10/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Tapuaenui campsite,Capacity,1/10/2005,
Lake Waikaremoana Track - Great Walk,Year-round,Waiharuru  Campsite,BookedUnits,1/10/2005,
